CustomerID,Lookalikes
C0001,"[('C0140', 0.746614276480518), ('C0097', 0.6497066367758644), ('C0104', 0.627334534707343)]"
C0002,"[('C0030', 0.5688166830990747), ('C0109', 0.5470011942063446), ('C0079', 0.4883778622057266)]"
C0003,"[('C0144', 0.7143242908201528), ('C0061', 0.6809634492764386), ('C0134', 0.668142962450385)]"
C0004,"[('C0065', 0.6283725857653113), ('C0082', 0.5848455441978494), ('C0007', 0.5719660141700034)]"
C0005,"[('C0096', 0.6100915893704704), ('C0192', 0.5743008367700312), ('C0053', 0.5487861716474306)]"
C0006,"[('C0171', 0.6440491230780473), ('C0139', 0.5617195648501309), ('C0197', 0.5112235857727329)]"
C0007,"[('C0031', 0.7403021825797754), ('C0159', 0.6804939508416649), ('C0181', 0.6741564427390146)]"
C0008,"[('C0164', 0.5691972207449677), ('C0002', 0.45734330474273366), ('C0007', 0.4278391525395257)]"
C0009,"[('C0062', 0.6581931170029561), ('C0083', 0.5737371801937681), ('C0156', 0.5530045032467544)]"
C0010,"[('C0058', 0.6611275604925266), ('C0123', 0.6328415015936008), ('C0161', 0.6158858761317424)]"
C0011,"[('C0170', 0.6349631041194502), ('C0034', 0.544398650118358), ('C0108', 0.5059126217266888)]"
C0012,"[('C0101', 0.5606303815294906), ('C0066', 0.501677187521597), ('C0055', 0.47923660832872117)]"
C0013,"[('C0067', 0.5782643820065169), ('C0040', 0.539028993236115), ('C0112', 0.5119113947758102)]"
C0014,"[('C0128', 0.8688327313618863), ('C0159', 0.6617329859072373), ('C0106', 0.5555875752069597)]"
C0015,"[('C0063', 0.8214478583282748), ('C0077', 0.6744616259015574), ('C0050', 0.6278733706177239)]"
C0016,"[('C0196', 0.6406211637336743), ('C0102', 0.5696860959871822), ('C0096', 0.5585668803025398)]"
C0017,"[('C0071', 0.5892058106632428), ('C0037', 0.5122200438995652), ('C0036', 0.46910214207166695)]"
C0018,"[('C0095', 0.551990777852446), ('C0059', 0.5098783454110266), ('C0177', 0.5001877708581893)]"
C0019,"[('C0196', 0.48743569495699496), ('C0057', 0.4825669195053699), ('C0045', 0.4631788391730781)]"
C0020,"[('C0026', 0.6065755693682582), ('C0007', 0.5403719782101429), ('C0197', 0.5237896724113726)]"
